ID,Label,Count
Strike_G,Strike_G,136
Defend_G,Defend_G,151
Survivor,Survivor,43
Neutralize,Neutralize,47
Underhanded Strike,Underhanded Strike,14
Backflip,Backflip,30
Doppelganger,Doppelganger,2
Blur,Blur,10
Terror,Terror,10
Dodge and Roll,Dodge and Roll,13
Dagger Throw,Dagger Throw,17
Flying Knee,Flying Knee,8
PiercingWail,PiercingWail,29
Quick Slash,Quick Slash,17
Crippling Poison,Crippling Poison,9
Dagger Spray,Dagger Spray,19
Accuracy,Accuracy,6
Catalyst,Catalyst,18
Bane,Bane,15
Blade Dance,Blade Dance,48
Infinite Blades,Infinite Blades,8
Phantasmal Killer,Phantasmal Killer,7
Corpse Explosion,Corpse Explosion,7
CurseOfTheBell,CurseOfTheBell,5
Riddle With Holes,Riddle With Holes,2
Slice,Slice,9
Deadly Poison,Deadly Poison,38
Noxious Fumes,Noxious Fumes,17
Bite,Bite,12
Cloak And Dagger,Cloak And Dagger,11
Bouncing Flask,Bouncing Flask,13
Bullet Time,Bullet Time,7
Deflect,Deflect,23
Madness,Madness,2
Acrobatics,Acrobatics,24
Storm of Steel,Storm of Steel,4
After Image,After Image,5
Leg Sweep,Leg Sweep,12
RitualDagger,RitualDagger,2
Wraith Form v2,Wraith Form v2,2
Flechettes,Flechettes,1
Venomology,Venomology,3
All Out Attack,All Out Attack,2
Writhe,Writhe,2
Prepared,Prepared,24
Masterful Stab,Masterful Stab,7
Outmaneuver,Outmaneuver,10
Adrenaline,Adrenaline,6
Night Terror,Night Terror,2
Eviscerate,Eviscerate,5
Reflex,Reflex,3
Finisher,Finisher,4
Well Laid Plans,Well Laid Plans,2
Sucker Punch,Sucker Punch,13
Transmutation,Transmutation,1
Burst,Burst,11
Expertise,Expertise,1
Footwork,Footwork,9
Parasite,Parasite,2
Poisoned Stab,Poisoned Stab,29
Die Die Die,Die Die Die,3
Bandage Up,Bandage Up,2
Caltrops,Caltrops,3
Predator,Predator,4
Escape Plan,Escape Plan,1
Dramatic Entrance,Dramatic Entrance,2
Heel Hook,Heel Hook,2
Decay,Decay,1
Choke,Choke,2
Concentrate,Concentrate,1
Calculated Gamble,Calculated Gamble,8
Endless Agony,Endless Agony,5
Tactician,Tactician,2
Tools of the Trade,Tools of the Trade,1
Distraction,Distraction,1
Backstab,Backstab,3
Skewer,Skewer,2
Regret,Regret,1
Setup,Setup,2
A Thousand Cuts,A Thousand Cuts,1
Envenom,Envenom,5
Glass Knife,Glass Knife,3
Malaise,Malaise,5
Necronomicurse,Necronomicurse,1
Discovery,Discovery,1
Flash of Steel,Flash of Steel,1
Deep Breath,Deep Breath,1
